year,resource,variable,units,magnitude,source,data_value,flag
2008,Wind,Other changes,Dollars,Thousands,Environmental Accounts,188741,R
2008,Wind,Resource rent,Dollars,Thousands,Environmental Accounts,25338,R
2008,Wood,Closing stock,Dollars,Thousands,Environmental Accounts,130892,R
2008,Wood,Generation,Gigawatt hours,Actual,MBIE,320,F
2008,Wood,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2008,Wood,Opening stock,Dollars,Thousands,Environmental Accounts,116459,R
2008,Wood,Other changes,Dollars,Thousands,Environmental Accounts,14433,R
2008,Wood,Resource rent,Dollars,Thousands,Environmental Accounts,7854,R
2009,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,85595,R
2009,Biogas,Generation,Gigawatt hours,Actual,MBIE,205,F
2009,Biogas,Gigawatt hours,Number,Proportion,MBIE,0,F
2009,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,83903,R
2009,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,1692,R
2009,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,5136,F
2009,Coal,Generation,Gigawatt hours,Actual,MBIE,4088,F
2009,Gas,Generation,Gigawatt hours,Actual,MBIE,9471,F
2009,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,1748937,R
2009,Geothermal,Generation,Gigawatt hours,Actual,MBIE,4197,F
2009,Geothermal,Gigawatt hours,Number,Proportion,MBIE,0.1,F
2009,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,1397840,R
2009,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,351097,R
2009,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,104936,R
2009,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,9309708,R
2009,Hydro,Generation,Gigawatt hours,Actual,MBIE,22340,F
2009,Hydro,Gigawatt hours,Number,Proportion,MBIE,0.53,F
2009,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,9251693,R
2009,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,58015,R
2009,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,558583,R
2009,Oil,Generation,Gigawatt hours,Actual,MBIE,98,F
2009,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,11733378,R
2009,Renewable,Generation,Gigawatt hours,Actual,MBIE,28156,F
2009,Renewable,Gigawatt hours,Number,Proportion,MBIE,0.67,F
2009,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,11288013,R
2009,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,445366,R
2009,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,704003,R
2009,Renewable,Resource rent,Number,Proportion,Environmental Accounts,0.67,F
2009,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,1439,R
2009,Solar,Generation,Gigawatt hours,Actual,MBIE,3,F
2009,Solar,Gigawatt hours,Number,Proportion,MBIE,0,F
2009,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,1384,R
2009,Solar,Other changes,Dollars,Thousands,Environmental Accounts,55,F
2009,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,86,F
2009,Total generation,Generation,Gigawatt hours,Actual,MBIE,41873,F
2009,Total generation,Prices,Number,Average,Electricity Authority,105,F
2009,Total generation,Resource rent,Dollars,Thousands,Environmental Accounts,1046967,R
2009,Waste heat,Generation,Gigawatt hours,Actual,MBIE,59,F
2009,Wind,Closing stock,Dollars,Thousands,Environmental Accounts,453990,R
2009,Wind,Generation,Gigawatt hours,Actual,MBIE,1089,F
2009,Wind,Gigawatt hours,Number,Proportion,MBIE,0.03,F
2009,Wind,Opening stock,Dollars,Thousands,Environmental Accounts,422300,R
2009,Wind,Other changes,Dollars,Thousands,Environmental Accounts,31691,R
2009,Wind,Resource rent,Dollars,Thousands,Environmental Accounts,27239,R
2009,Wood,Closing stock,Dollars,Thousands,Environmental Accounts,133708,R
2009,Wood,Generation,Gigawatt hours,Actual,MBIE,321,F
2009,Wood,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2009,Wood,Opening stock,Dollars,Thousands,Environmental Accounts,130892,R
2009,Wood,Other changes,Dollars,Thousands,Environmental Accounts,2816,R
2009,Wood,Resource rent,Dollars,Thousands,Environmental Accounts,8022,R
2010,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,91072,R
2010,Biogas,Generation,Gigawatt hours,Actual,MBIE,221,F
2010,Biogas,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2010,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,85595,R
2010,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,5477,R
2010,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,5464,R
2010,Coal,Generation,Gigawatt hours,Actual,MBIE,3109,F
2010,Gas,Generation,Gigawatt hours,Actual,MBIE,8449,F
2010,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,1928505,R
2010,Geothermal,Generation,Gigawatt hours,Actual,MBIE,4671,F
2010,Geothermal,Gigawatt hours,Number,Proportion,MBIE,0.11,F
2010,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,1748937,R
2010,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,179567,R
2010,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,115710,R
2010,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,9988394,R
2010,Hydro,Generation,Gigawatt hours,Actual,MBIE,24194,F
2010,Hydro,Gigawatt hours,Number,Proportion,MBIE,0.57,F
2010,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,9309708,R
2010,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,678686,R
2010,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,599304,R
2010,Oil,Generation,Gigawatt hours,Actual,MBIE,9,F
2010,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,12807495,R
2010,Renewable,Generation,Gigawatt hours,Actual,MBIE,31022,F
2010,Renewable,Gigawatt hours,Number,Proportion,MBIE,0.73,F
2010,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,11733378,R
2010,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,1074117,R
2010,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,768450,R
2010,Renewable,Resource rent,Number,Proportion,Environmental Accounts,0.73,F
2010,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,1492,F
2010,Solar,Generation,Gigawatt hours,Actual,MBIE,4,F
2010,Solar,Gigawatt hours,Number,Proportion,MBIE,0,F
2010,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,1439,R
2010,Solar,Other changes,Dollars,Thousands,Environmental Accounts,52,R
2010,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,89,R
2010,Total generation,Generation,Gigawatt hours,Actual,MBIE,42641,F
2010,Total generation,Prices,Number,Average,Electricity Authority,52,F
2010,Total generation,Resource rent,Dollars,Thousands,Environmental Accounts,1056272,R
2010,Waste heat,Generation,Gigawatt hours,Actual,MBIE,51,F
2010,Wind,Closing stock,Dollars,Thousands,Environmental Accounts,650567,R
2010,Wind,Generation,Gigawatt hours,Actual,MBIE,1576,F
2010,Wind,Gigawatt hours,Number,Proportion,MBIE,0.04,F
2010,Wind,Opening stock,Dollars,Thousands,Environmental Accounts,453990,R
2010,Wind,Other changes,Dollars,Thousands,Environmental Accounts,196576,R
2010,Wind,Resource rent,Dollars,Thousands,Environmental Accounts,39034,R
2010,Wood,Closing stock,Dollars,Thousands,Environmental Accounts,147465,R
2010,Wood,Generation,Gigawatt hours,Actual,MBIE,357,F
2010,Wood,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2010,Wood,Opening stock,Dollars,Thousands,Environmental Accounts,133708,R
2010,Wood,Other changes,Dollars,Thousands,Environmental Accounts,13758,R
2010,Wood,Resource rent,Dollars,Thousands,Environmental Accounts,8848,R
2011,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,82466,R
2011,Biogas,Generation,Gigawatt hours,Actual,MBIE,215,F
2011,Biogas,Gigawatt hours,Number,Proportion,MBIE,0,F
2011,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,91072,R
2011,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,-8607,R
2011,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,4948,R
2011,Coal,Generation,Gigawatt hours,Actual,MBIE,1635,F
2011,Gas,Generation,Gigawatt hours,Actual,MBIE,8853,F
2011,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,2225489,R
2011,Geothermal,Generation,Gigawatt hours,Actual,MBIE,5808,R
2011,Geothermal,Gigawatt hours,Number,Proportion,MBIE,0.13,F
2011,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,1928505,R
2011,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,296985,R
2011,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,133529,R
2011,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,9552762,R
2011,Hydro,Generation,Gigawatt hours,Actual,MBIE,24931,F
2011,Hydro,Gigawatt hours,Number,Proportion,MBIE,0.57,F
2011,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,9988394,R
2011,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,-435632,R
2011,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,573166,R
2011,Oil,Generation,Gigawatt hours,Actual,MBIE,1,F
2011,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,12618040,R
2011,Renewable,Generation,Gigawatt hours,Actual,MBIE,32931,R
2011,Renewable,Gigawatt hours,Number,Proportion,MBIE,0.76,F
2011,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,12807495,R
2011,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,-189455,R
2011,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,757082,R
2011,Renewable,Resource rent,Number,Proportion,Environmental Accounts,0.76,F
2011,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,1481,R
2011,Solar,Generation,Gigawatt hours,Actual,MBIE,4,F
2011,Solar,Gigawatt hours,Number,Proportion,MBIE,0,F
2011,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,1492,F
2011,Solar,Other changes,Dollars,Thousands,Environmental Accounts,-11,R
2011,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,89,F
2011,Total generation,Generation,Gigawatt hours,Actual,MBIE,43479,R
2011,Total generation,Prices,Number,Average,Electricity Authority,52,F
2011,Total generation,Resource rent,Dollars,Thousands,Environmental Accounts,999580,R
2011,Waste heat,Generation,Gigawatt hours,Actual,MBIE,59,F
2011,Wind,Closing stock,Dollars,Thousands,Environmental Accounts,628165,R
2011,Wind,Generation,Gigawatt hours,Actual,MBIE,1639,F
2011,Wind,Gigawatt hours,Number,Proportion,MBIE,0.04,F
2011,Wind,Opening stock,Dollars,Thousands,Environmental Accounts,650567,R
2011,Wind,Other changes,Dollars,Thousands,Environmental Accounts,-22401,R
2011,Wind,Resource rent,Dollars,Thousands,Environmental Accounts,37690,R
2011,Wood,Closing stock,Dollars,Thousands,Environmental Accounts,127677,R
2011,Wood,Generation,Gigawatt hours,Actual,MBIE,333,F
2011,Wood,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2011,Wood,Opening stock,Dollars,Thousands,Environmental Accounts,147465,R
2011,Wood,Other changes,Dollars,Thousands,Environmental Accounts,-19788,R
2011,Wood,Resource rent,Dollars,Thousands,Environmental Accounts,7661,R
2012,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,91249,R
2012,Biogas,Generation,Gigawatt hours,Actual,MBIE,219,F
2012,Biogas,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2012,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,82466,R
2012,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,8784,R
2012,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,5475,R
2012,Coal,Generation,Gigawatt hours,Actual,MBIE,2327,F
2012,Gas,Generation,Gigawatt hours,Actual,MBIE,8316,F
2012,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,2481785,R
2012,Geothermal,Generation,Gigawatt hours,Actual,MBIE,5965,R
2012,Geothermal,Gigawatt hours,Number,Proportion,MBIE,0.14,F
2012,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,2225489,R
2012,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,256296,R
2012,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,148907,R
2012,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,9950114,R
2012,Hydro,Generation,Gigawatt hours,Actual,MBIE,23913,F
2012,Hydro,Gigawatt hours,Number,Proportion,MBIE,0.55,R
2012,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,9552762,R
2012,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,397352,R
2012,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,597007,R
2012,Oil,Generation,Gigawatt hours,Actual,MBIE,2,F
2012,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,13505667,R
2012,Renewable,Generation,Gigawatt hours,Actual,MBIE,32458,R
2012,Renewable,Gigawatt hours,Number,Proportion,MBIE,0.75,F
2012,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,12618040,R
2012,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,887627,R
2012,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,810340,R
2012,Renewable,Resource rent,Number,Proportion,Environmental Accounts,0.75,F
2012,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,1772,R
2012,Solar,Generation,Gigawatt hours,Actual,MBIE,4,F
2012,Solar,Gigawatt hours,Number,Proportion,MBIE,0,F
2012,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,1481,R
2012,Solar,Other changes,Dollars,Thousands,Environmental Accounts,291,R
2012,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,106,R
2012,Total generation,Generation,Gigawatt hours,Actual,MBIE,43146,R
2012,Total generation,Prices,Number,Average,Electricity Authority,75,F
2012,Total generation,Resource rent,Dollars,Thousands,Environmental Accounts,1077158,R
2012,Waste heat,Generation,Gigawatt hours,Actual,MBIE,42,F
2012,Wind,Closing stock,Dollars,Thousands,Environmental Accounts,833516,R
2012,Wind,Generation,Gigawatt hours,Actual,MBIE,2003,F
2012,Wind,Gigawatt hours,Number,Proportion,MBIE,0.05,F
2012,Wind,Opening stock,Dollars,Thousands,Environmental Accounts,628165,R
2012,Wind,Other changes,Dollars,Thousands,Environmental Accounts,205350,R
2012,Wind,Resource rent,Dollars,Thousands,Environmental Accounts,50011,R
2012,Wood,Closing stock,Dollars,Thousands,Environmental Accounts,147231,R
2012,Wood,Generation,Gigawatt hours,Actual,MBIE,354,F
2012,Wood,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2012,Wood,Opening stock,Dollars,Thousands,Environmental Accounts,127677,R
2012,Wood,Other changes,Dollars,Thousands,Environmental Accounts,19554,R
2012,Wood,Resource rent,Dollars,Thousands,Environmental Accounts,8834,R
2013,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,89167,R
2013,Biogas,Generation,Gigawatt hours,Actual,MBIE,208,F
2013,Biogas,Gigawatt hours,Number,Proportion,MBIE,0,F
2013,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,91249,R
2013,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,-2082,R
2013,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,5350,R
2013,Coal,Generation,Gigawatt hours,Actual,MBIE,3248,F
2013,Gas,Generation,Gigawatt hours,Actual,MBIE,8335,F
2013,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,2546215,R
2013,Geothermal,Generation,Gigawatt hours,Actual,MBIE,5936,R
2013,Geothermal,Gigawatt hours,Number,Proportion,MBIE,0.14,F
2013,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,2481785,R
2013,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,64430,R
2013,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,152773,R
2013,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,9740776,R
2013,Hydro,Generation,Gigawatt hours,Actual,MBIE,22710,F
2013,Hydro,Gigawatt hours,Number,Proportion,MBIE,0.53,F
2013,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,9950114,R
2013,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,-209338,R
2013,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,584447,R
2013,Oil,Generation,Gigawatt hours,Actual,MBIE,5,F
2013,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,13391389,R
2013,Renewable,Generation,Gigawatt hours,Actual,MBIE,31222,R
2013,Renewable,Gigawatt hours,Number,Proportion,MBIE,0.73,F
2013,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,13505667,R
2013,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,-114278,R
2013,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,803483,R
2013,Renewable,Resource rent,Number,Proportion,Environmental Accounts,0.73,F
2013,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,2141,R
2013,Solar,Generation,Gigawatt hours,Actual,MBIE,5,F
2013,Solar,Gigawatt hours,Number,Proportion,MBIE,0,F
2013,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,1772,R
2013,Solar,Other changes,Dollars,Thousands,Environmental Accounts,369,R
2013,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,128,R
2013,Total generation,Generation,Gigawatt hours,Actual,MBIE,42842,R
2013,Total generation,Prices,Number,Average,Electricity Authority,81,F
2013,Total generation,Resource rent,Dollars,Thousands,Environmental Accounts,1102541,R
2013,Waste heat,Generation,Gigawatt hours,Actual,MBIE,33,F
2013,Wind,Closing stock,Dollars,Thousands,Environmental Accounts,856841,R
2013,Wind,Generation,Gigawatt hours,Actual,MBIE,1998,F
2013,Wind,Gigawatt hours,Number,Proportion,MBIE,0.05,F
2013,Wind,Opening stock,Dollars,Thousands,Environmental Accounts,833516,R
2013,Wind,Other changes,Dollars,Thousands,Environmental Accounts,23325,R
2013,Wind,Resource rent,Dollars,Thousands,Environmental Accounts,51410,R
2013,Wood,Closing stock,Dollars,Thousands,Environmental Accounts,156249,R
2013,Wood,Generation,Gigawatt hours,Actual,MBIE,364,F
2013,Wood,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2013,Wood,Opening stock,Dollars,Thousands,Environmental Accounts,147231,R
2013,Wood,Other changes,Dollars,Thousands,Environmental Accounts,9018,R
2013,Wood,Resource rent,Dollars,Thousands,Environmental Accounts,9375,R
2014,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,93402,R
2014,Biogas,Generation,Gigawatt hours,Actual,MBIE,205,F
2014,Biogas,Gigawatt hours,Number,Proportion,MBIE,0,F
2014,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,89167,R
2014,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,4235,R
2014,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,5604,R
2014,Coal,Generation,Gigawatt hours,Actual,MBIE,2012,F
2014,Gas,Generation,Gigawatt hours,Actual,MBIE,7661,F
2014,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,2954743,R
2014,Geothermal,Generation,Gigawatt hours,Actual,MBIE,6470,R
2014,Geothermal,Gigawatt hours,Number,Proportion,MBIE,0.15,F
2014,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,2546215,R
2014,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,408528,R
2014,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,177285,R
2014,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,10592411,R
2014,Hydro,Generation,Gigawatt hours,Actual,MBIE,23194,F
2014,Hydro,Gigawatt hours,Number,Proportion,MBIE,0.55,F
2014,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,9740776,R
2014,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,851635,R
2014,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,635545,R
2014,Oil,Generation,Gigawatt hours,Actual,MBIE,3,F
2014,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,14755138,R
2014,Renewable,Generation,Gigawatt hours,Actual,MBIE,32309,R
2014,Renewable,Gigawatt hours,Number,Proportion,MBIE,0.77,F
2014,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,13391389,R
2014,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,1363750,R
2014,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,885308,R
2014,Renewable,Resource rent,Number,Proportion,Environmental Accounts,0.77,F
2014,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,4069,R
2014,Solar,Generation,Gigawatt hours,Actual,MBIE,9,R
2014,Solar,Gigawatt hours,Number,Proportion,MBIE,0,F
2014,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,2141,R
2014,Solar,Other changes,Dollars,Thousands,Environmental Accounts,1928,R
2014,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,244,R
